ensembl_id,symbol,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000198276.15,UCKL1,0.735465575,0.473557668,0.997373482,-0.120880595,5.652287934,9.55857E-07,0.015304233,5.012198806
ENSG00000235641.4,LINC00484,1.396044444,0.840913672,1.951175216,0.123756149,5.061910719,7.12527E-06,0.057041313,3.343262035
ENSG00000151632.17,AKR1C2,1.974885816,1.159589726,2.790181907,0.122358084,4.87570217,1.33005E-05,0.066366309,2.822553098
ENSG00000167723.14,TRPV3,0.764143194,0.442424281,1.085862108,-0.301192171,4.780889368,1.82356E-05,0.066366309,2.559001976
ENSG00000087116.15,ADAMTS2,1.354489233,0.779582846,1.92939562,0.246455032,4.742299318,2.07252E-05,0.066366309,2.452079439
ENSG00000260971.4,AC119674.1,1.755241081,0.948331104,2.562151058,-0.340289826,4.37846848,6.82275E-05,0.152979369,1.455749339
ENSG00000100364.18,KIAA0930,0.717917415,0.383255088,1.052579742,-0.116869091,4.317955874,8.29372E-05,0.152979369,1.292422025
ENSG00000137809.16,ITGA11,0.96862253,0.514616732,1.422628329,0.199626056,4.294411973,8.94605E-05,0.152979369,1.229084123
ENSG00000168209.4,DDIT4,1.280684868,0.671738012,1.889631725,-0.148227205,4.233245189,0.000108834,0.152979369,1.065100889
ENSG00000276043.4,UHRF1,1.410308802,0.732274804,2.088342801,-0.445735143,4.186713893,0.000126253,0.152979369,0.940922818
ENSG00000231010.1,AL121672.1,1.458604921,0.755230361,2.161979482,-0.101780644,4.174087568,0.000131429,0.152979369,0.907314358
ENSG00000130254.11,SAFB2,0.498256192,0.256734881,0.739777503,-0.031418396,4.152482258,0.00014077,0.152979369,0.849894185
ENSG00000130720.12,FIBCD1,1.972997305,1.009798766,2.936195843,-0.665074287,4.123074813,0.000154526,0.152979369,0.771920429
ENSG00000186088.15,GSAP,-0.775996755,-1.157688131,-0.394305379,0.011004664,-4.092211728,0.000170367,0.152979369,0.690317406
