gene,hugo,logFC,AveExpr,t,P.Value,adj.P.Val,B,se,chr,N
ENSG00000136732,GYPC,1.325095946,2.10672011,11.10370314,4.77E-12,8.22E-08,16.52043866,0.1193382,2,39
ENSG00000188730,VWC2,-1.038693764,3.774835645,-8.417165407,2.54E-09,1.47E-05,11.39687813,0.123401848,7,39
ENSG00000138166,DUSP5,-1.364506183,2.400152775,-8.414033501,2.56E-09,1.47E-05,11.18384288,0.162170282,10,39
ENSG00000133800,LYVE1,1.669596325,3.116473277,8.162287052,4.83E-09,1.71E-05,10.74448997,0.204550062,11,39
ENSG00000104064,GABPB1,-0.404433283,4.697975237,-8.087984172,5.71E-09,1.71E-05,10.6182072,0.050004213,15,39
ENSG00000257386,AC025257.1,-1.105401507,1.462462704,-8.070819695,5.96E-09,1.71E-05,10.36976146,0.136962731,12,39
ENSG00000171777,RASGRP4,0.899544995,0.984351373,7.887499713,9.53E-09,2.35E-05,9.405660542,0.114046913,19,39
ENSG00000140854,KATNB1,-0.625078071,5.039274151,-7.793899968,1.21E-08,2.60E-05,9.878374512,0.080200936,16,39
ENSG00000153993,SEMA3D,1.126739401,4.148388812,7.759052206,1.35E-08,2.60E-05,9.779187922,0.145216113,7,39
ENSG00000173465,SSSCA1,-0.531709909,2.998103234,-7.691906843,1.58E-08,2.73E-05,9.608450411,0.06912589,11,39
ENSG00000117280,RAB29,0.824398229,4.428045823,7.62036894,1.94E-08,2.88E-05,9.423243967,0.108183506,1,39
ENSG00000164949,GEM,1.443941499,3.338243937,7.607823714,2.00E-08,2.88E-05,9.399081434,0.189796919,8,39
ENSG00000247516,MIR4458HG,-0.612776724,2.195451945,-7.463996982,2.87E-08,3.80E-05,8.969360072,0.082097665,5,39
ENSG00000245573,BDNF-AS,-0.789103129,2.110788724,-7.41099208,3.29E-08,3.94E-05,8.792213452,0.106477395,11,39
ENSG00000257315,ZBED6,0.79955219,5.820874564,7.403381547,3.42E-08,3.94E-05,8.873427967,0.107998242,1,39
ENSG00000182240,BACE2,0.952705158,3.778689688,7.373666521,3.70E-08,3.99E-05,8.809161337,0.129203722,21,39
ENSG00000150893,FREM2,0.884336748,4.584144346,7.261260382,4.97E-08,4.73E-05,8.518106552,0.121788326,13,39
ENSG00000116117,PARD3B,0.534108638,4.460910941,7.240913008,5.16E-08,4.73E-05,8.482570093,0.073762609,2,39
ENSG00000139835,GRTP1,1.019504129,0.802280391,7.237416394,5.21E-08,4.73E-05,8.129610327,0.140865756,13,39
ENSG00000105808,RASA4,0.564665952,5.621773083,7.169025625,6.24E-08,5.39E-05,8.272663497,0.078764672,7,39
ENSG00000213694,S1PR3,0.914328758,3.754434123,7.154822299,6.60E-08,5.39E-05,8.24990054,0.127791959,9,39
ENSG00000184005,ST6GALNAC3,0.711852502,4.133813847,7.134922017,6.88E-08,5.39E-05,8.19866852,0.099770187,1,39
ENSG00000163032,VSNL1,-1.270124225,7.522215757,-7.111926917,7.39E-08,5.55E-05,8.121474855,0.178590731,2,39
ENSG00000215483,LINC00598,1.034181488,1.06085678,7.08020311,7.91E-08,5.59E-05,7.876403813,0.146066641,13,39
ENSG00000121390,PSPC1,-0.438665742,5.34165323,-7.059661431,8.36E-08,5.59E-05,7.99128041,0.062136938,13,39
ENSG00000188807,TMEM201,-0.436001209,4.298396649,-7.056873516,8.42E-08,5.59E-05,7.995547245,0.061783906,1,39
ENSG00000171189,GRIK1,-0.918680387,3.567288368,-7.047716236,8.77E-08,5.61E-05,7.975047101,0.130351501,21,39
ENSG00000118508,RAB32,1.117531032,1.64573697,7.03089245,9.10E-08,5.61E-05,7.836397622,0.158945829,6,39
ENSG00000068400,GRIPAP1,-0.517047152,5.921553578,-6.998488894,9.84E-08,5.86E-05,7.816715416,0.073879828,X,39
ENSG00000197177,ADGRA1,-0.68708246,4.789144464,-6.910486488,1.25E-07,7.21E-05,7.611627179,0.099426062,10,39
ENSG00000233476,EEF1A1P6,0.649301855,1.573209513,6.882310188,1.34E-07,7.48E-05,7.502338771,0.094343591,7,39
ENSG00000250303,AP002884.1,0.712038191,2.461615012,6.870910687,1.39E-07,7.48E-05,7.512690877,0.103630832,11,39
ENSG00000166546,BEAN1,-0.895930656,2.216525557,-6.830999888,1.54E-07,8.08E-05,7.399057222,0.131156591,16,39
ENSG00000184270,HIST2H2AB,-0.540978209,2.704925656,-6.799649383,1.68E-07,8.52E-05,7.343384312,0.079559721,1,39
ENSG00000177119,ANO6,0.992780492,5.42334145,6.781881936,1.79E-07,8.81E-05,7.231309029,0.146387168,12,39
ENSG00000105383,CD33,1.108648135,0.308956013,6.7662092,1.84E-07,8.81E-05,6.92340842,0.163850703,19,39
ENSG00000138119,MYOF,1.02821941,4.14953755,6.749493816,1.95E-07,8.88E-05,7.189524912,0.152340225,10,39
ENSG00000106333,PCOLCE,1.073948375,0.697220138,6.732517181,2.01E-07,8.88E-05,6.865856543,0.159516618,7,39
ENSG00000140022,STON2,0.811440122,7.321564981,6.72268741,2.10E-07,8.88E-05,7.103618671,0.120701748,14,39
ENSG00000053747,LAMA3,0.690090116,3.737303038,6.715655847,2.11E-07,8.88E-05,7.12469182,0.10275841,18,39
ENSG00000168314,MOBP,-1.030327086,8.457342966,-6.720533138,2.11E-07,8.88E-05,7.126311075,0.15331032,3,39
ENSG00000138185,ENTPD1,0.355289168,4.429629623,6.704770976,2.17E-07,8.92E-05,7.086089477,0.0529905,10,39
ENSG00000224479,AC104162.1,-1.326888825,-0.004799085,-6.688591289,2.29E-07,9.18E-05,6.793142888,0.19838091,3,39
ENSG00000174963,ZIC4,1.156286894,0.926047661,6.675758676,2.35E-07,9.21E-05,6.767415932,0.173206814,3,39
ENSG00000157227,MMP14,1.101653013,3.033772151,6.667508366,2.44E-07,9.34E-05,6.996607571,0.165227091,14,39
ENSG00000187554,TLR5,1.665084658,1.688484548,6.622276239,2.75E-07,0.00010331,6.823745915,0.251436907,1,39
ENSG00000143256,PFDN2,-0.472369445,3.437225339,-6.594422527,2.93E-07,0.000105013,6.805612752,0.071631662,1,39
ENSG00000138798,EGF,0.879562999,2.139726325,6.591299179,2.96E-07,0.000105013,6.789329157,0.13344304,4,39
ENSG00000272341,AL137003.2,-1.08475676,1.343696928,-6.586750561,3.02E-07,0.000105013,6.730481653,0.164687694,6,39
ENSG00000180998,GPR137C,-0.507846734,4.233703963,-6.58033849,3.04E-07,0.000105013,6.752918743,0.077176385,14,39
ENSG00000125841,NRSN2,-0.570924663,5.55508082,-6.569325389,3.15E-07,0.000106467,6.670931063,0.086907655,20,39
ENSG00000177432,NAP1L5,-1.162298101,5.322932778,-6.533982924,3.50E-07,0.000113741,6.576659868,0.177885084,4,39
ENSG00000182118,FAM89A,0.893249118,3.143386159,6.530766304,3.53E-07,0.000113741,6.640182989,0.136775545,1,39
ENSG00000130643,CALY,-0.892771109,5.341702888,-6.527815545,3.56E-07,0.000113741,6.558267717,0.136764145,10,39
ENSG00000282057,AC092807.3,-1.171576454,0.224497661,-6.495824814,3.83E-07,0.000120179,6.208455394,0.180358382,1,39
ENSG00000182463,TSHZ2,-0.653294166,4.638289753,-6.456818389,4.28E-07,0.000129608,6.417694783,0.101178959,20,39
ENSG00000183801,OLFML1,1.060043532,0.263852257,6.448993165,4.35E-07,0.000129608,5.952476993,0.164373493,11,39
ENSG00000254535,PABPC4L,1.189177037,0.197943324,6.448702419,4.36E-07,0.000129608,6.154969642,0.184405631,4,39
ENSG00000184384,MAML2,0.542019326,4.647506274,6.414271225,4.79E-07,0.000139493,6.289209882,0.08450209,11,39
ENSG00000185909,KLHDC8B,0.428340355,3.674468021,6.407155104,4.88E-07,0.000139493,6.301124676,0.066853439,3,39
ENSG00000154188,ANGPT1,1.217086854,2.910480969,6.402020382,5.02E-07,0.000139493,6.306266518,0.190109806,8,39
ENSG00000138735,PDE5A,0.552962516,4.143693719,6.396744654,5.02E-07,0.000139493,6.2735953,0.086444363,4,39
ENSG00000133704,IPO8,0.371747404,5.840396599,6.386683735,5.16E-07,0.000139493,6.204462253,0.05820664,12,39
ENSG00000168743,NPNT,1.382338083,3.356169807,6.390644536,5.17E-07,0.000139493,6.261040337,0.21630652,4,39
ENSG00000277075,HIST1H2AE,-0.880299716,3.300971908,-6.379981534,5.33E-07,0.000141005,6.227991918,0.137978411,6,39
ENSG00000103653,CSK,0.460877044,4.456467292,6.370657218,5.39E-07,0.000141005,6.182604241,0.07234372,15,39
ENSG00000152518,ZFP36L2,0.548517851,5.03129725,6.35733653,5.59E-07,0.000144063,6.145435146,0.086281078,2,39
ENSG00000214353,VAC14-AS1,1.060767639,2.169294329,6.354988856,5.70E-07,0.000144731,6.175746135,0.166918883,16,39
ENSG00000162552,WNT4,0.626193101,1.201303042,6.316850395,6.25E-07,0.000156311,5.969726694,0.099130589,1,39
ENSG00000103197,TSC2,-0.400229726,6.31894219,-6.298024267,6.58E-07,0.000159787,5.948310036,0.063548457,16,39
ENSG00000270800,RPS10-NUDT3,0.543427879,4.851418399,6.297533935,6.59E-07,0.000159787,6.02814486,0.086292172,6,39
ENSG00000025434,NR1H3,0.580882598,2.831095216,6.293329669,6.67E-07,0.000159787,6.031409932,0.092301314,11,39
ENSG00000157150,TIMP4,-0.558217432,2.244399734,-6.257608644,7.35E-07,0.000173846,5.938742761,0.089206191,3,39
ENSG00000100678,SLC8A3,-0.694094666,4.082677016,-6.253974422,7.52E-07,0.0001752,5.853768054,0.110984571,14,39
ENSG00000251600,AC139713.2,-0.730841593,2.415098611,-6.24495388,7.61E-07,0.0001752,5.906208807,0.117029142,4,39
ENSG00000265479,DTX2P1-UPK3BP1-PMS2P11,-0.56301924,3.562386676,-6.220777597,8.14E-07,0.000183642,5.834511857,0.090506248,7,39
ENSG00000019582,CD74,1.116640616,6.217736003,6.222783655,8.19E-07,0.000183642,5.741536679,0.179443908,5,39
ENSG00000165633,VSTM4,0.698165067,4.691518873,6.204980033,8.61E-07,0.000188255,5.724790317,0.112516892,10,39
ENSG00000183628,DGCR6,0.784697672,3.481435147,6.198834984,8.65E-07,0.000188255,5.782314679,0.126587927,22,39
ENSG00000168679,SLC16A4,0.646954956,2.449473306,6.195376954,8.73E-07,0.000188255,5.773449415,0.104425439,1,39
ENSG00000090776,EFNB1,0.790526771,3.473284627,6.158903354,9.77E-07,0.000208089,5.644417696,0.128355119,X,39
ENSG00000184809,B3GALT5-AS1,1.002801571,0.35792527,6.137497191,1.02E-06,0.000213328,5.4228204,0.163389333,21,39
ENSG00000183856,IQGAP3,-1.198986061,0.132978627,-6.136390601,1.03E-06,0.000213328,5.429803151,0.195389463,1,39
ENSG00000137968,SLC44A5,-0.823466125,2.879691522,-6.135927935,1.04E-06,0.000213328,5.609903942,0.134204009,1,39
ENSG00000093100,AC016026.1,1.039704394,2.867359353,6.098928059,1.15E-06,0.000233909,5.512870192,0.1704733,22,39
ENSG00000141506,PIK3R5,1.000601476,2.020441462,6.074187674,1.23E-06,0.000246699,5.425556483,0.164730089,17,39
ENSG00000153162,BMP6,1.144676746,2.492325023,6.067451668,1.26E-06,0.000247993,5.427091484,0.188658569,6,39
ENSG00000127990,SGCE,0.381773204,4.469604983,6.06091307,1.26E-06,0.000247993,5.37161416,0.062989388,7,39
ENSG00000174939,ASPHD1,-0.6145137,4.976975966,-6.049782203,1.32E-06,0.000255824,5.274401674,0.101576169,16,39
ENSG00000081842,PCDHA6,-0.83575065,3.44027652,-6.039149634,1.36E-06,0.000260516,5.326002833,0.138388797,5,39
ENSG00000237737,DCTN1-AS1,-0.983115892,1.502359318,-6.028067847,1.39E-06,0.000263526,5.292958307,0.163089719,2,39
ENSG00000134323,MYCN,-0.881521671,1.753805672,-6.023952753,1.41E-06,0.00026361,5.314360224,0.146336087,2,39
ENSG00000129474,AJUBA,0.972049008,1.174328086,5.97946724,1.58E-06,0.0002929,5.126893964,0.162564484,14,39
ENSG00000010704,HFE,0.825656376,1.887345337,5.977136329,1.60E-06,0.0002929,5.194941717,0.138135778,6,39
ENSG00000163513,TGFBR2,0.773806856,5.298014329,5.938534934,1.79E-06,0.00032355,4.957640835,0.130302653,3,39
ENSG00000117500,TMED5,0.655403559,5.967618953,5.933243976,1.82E-06,0.00032355,4.936616377,0.110462938,1,39
ENSG00000259943,AL050341.2,-0.849313549,2.485842,-5.928299107,1.84E-06,0.00032355,5.066335848,0.143264288,1,39
ENSG00000228408,AL031056.1,1.956043707,4.130459473,5.926573365,1.85E-06,0.00032355,4.977704104,0.330046316,6,39
