gene,gene_name,BA20_THp_HA_vs_AD.l2fc,BA20_THp_HA_vs_AD.pval,BA20_THp_HA_vs_AD.padj,BA20_THp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000196850,PPTC7,-0.095834648,0.635462066,0.797521032,-0.048810233,,,,,
ENSG00000186501,TMEM222,0.334000786,0.062208228,0.244550262,0.34906058,,,,,
ENSG00000100916,BRMS1L,0.005128258,0.979340957,0.990268716,0.042037718,,,,,
ENSG00000175497,DPP10,0.10570586,0.716831471,0.848162766,0.129436615,,,,,
ENSG00000123091,RNF11,0.026342827,0.893179348,0.947872484,0.086010101,,,,,
ENSG00000173918,C1QTNF1,0.246277455,0.495338354,0.701434845,0.17873547,,,,,
ENSG00000233621,LINC01137,-0.181362863,0.5637746,0.748405897,-0.453161122,,,,,
ENSG00000179456,ZBTB18,0.118494149,0.65793816,0.810568748,0.12755937,,,,,
ENSG00000106723,SPIN1,-0.063605777,0.708863173,0.84302153,-0.038740195,,,,,
ENSG00000262246,CORO7,-0.360518874,0.121217331,0.335065366,-0.411983538,,,,,
ENSG00000164830,OXR1,0.3290216,0.269689636,0.50491704,0.430068771,,,,,
ENSG00000139410,SDSL,1.008470176,0.002185994,0.062950986,1.281946534,,,,,
ENSG00000113805,CNTN3,0.517881012,0.172959826,0.397900277,0.710193347,,,,,
ENSG00000152822,GRM1,0.536706782,0.163329576,0.386062231,0.694465908,,,,,
ENSG00000152332,UHMK1,-0.099639609,0.63732006,0.798787229,-0.054609278,,,,,
ENSG00000134909,ARHGAP32,0.030073606,0.909548453,0.956959561,0.076555225,,,,,
ENSG00000185774,KCNIP4,0.223439916,0.496172461,0.702017834,0.291009081,,,,,
ENSG00000149599,DUSP15,0.225234863,0.389158109,0.617568962,0.226463419,,,,,
ENSG00000145715,RASA1,0.113234747,0.660101689,0.812105586,0.158438075,,,,,
ENSG00000228971,LINC02607,0.244632761,0.526750904,0.723004169,0.282376931,,,,,
ENSG00000152503,TRIM36,0.851305045,0.017356087,0.141701833,1.021530492,,,,,
ENSG00000171502,COL24A1,0.76369878,0.055054328,,1.115025563,,,,,
ENSG00000187479,C11orf96,0.520156984,0.170592964,0.395317612,0.682468815,,,,,
ENSG00000142192,APP,-0.13171398,0.480087781,0.690223039,-0.135388797,,,,,
ENSG00000100280,AP1B1,0.443845615,0.003785409,0.077335882,0.464340954,,,,,
ENSG00000167470,MIDN,0.457710423,0.084298373,0.280252395,0.461238585,,,,,
ENSG00000179403,VWA1,-0.253717924,0.411461412,0.63582137,-0.294187052,,,,,
ENSG00000165688,PMPCA,0.28425165,0.073710591,0.262855861,0.301705591,,,,,
ENSG00000024422,EHD2,-0.163730565,0.477018371,0.688152784,-0.242784446,,,,,
ENSG00000144290,SLC4A10,0.684742259,0.096419679,0.299757969,1.078999238,,,,,
ENSG00000041353,RAB27B,0.591170222,0.121815549,0.336093199,0.835531156,,,,,
ENSG00000030110,BAK1,0.159509843,0.489948661,0.698213732,0.158283636,,,,,
ENSG00000120156,TEK,0.229691581,0.358786169,0.587238471,0.1635426,,,,,
ENSG00000100003,SEC14L2,-0.129854456,0.551123243,0.739294124,-0.15787603,,,,,
ENSG00000272944,AC079834.2,0.722654724,0.07270145,,1.235553393,,,,,
ENSG00000180044,C3orf80,0.874633349,0.032211521,0.184119828,1.388393311,,,,,
ENSG00000128656,CHN1,0.633863606,0.05624936,0.23349455,0.768407145,,,,,
ENSG00000196950,SLC39A10,0.411167066,0.237492124,0.473478782,0.552233014,,,,,
ENSG00000081026,MAGI3,0.475555933,0.077503493,0.269332945,0.524803347,,,,,
ENSG00000134121,CHL1,0.752558511,0.03685723,0.196994521,0.914246305,,,,,
ENSG00000145545,SRD5A1,0.140323497,0.567941984,0.751519191,0.149756404,,,,,
ENSG00000126733,DACH2,0.254064671,0.518451743,0.717732303,0.323058268,,,,,
ENSG00000117069,ST6GALNAC5,0.907404933,0.028383786,0.175574525,1.527331659,,,,,
ENSG00000253553,AC090578.1,0.086265264,0.831471852,,0.063536956,,,,,
ENSG00000186479,RGS7BP,0.117325485,0.759617213,0.874925024,0.15343511,,,,,
ENSG00000101958,GLRA2,0.866910751,0.036890974,,1.578661288,,,,,
ENSG00000076554,TPD52,-0.275762209,0.18500114,0.413502202,-0.263866272,,,,,
ENSG00000198673,FAM19A2,0.299932929,0.397575194,0.625282455,0.338591893,,,,,
ENSG00000105143,SLC1A6,0.656357488,0.086853812,0.284397899,0.968371249,,,,,
ENSG00000176165,FOXG1,0.571254218,0.04258591,0.207666823,0.583674168,,,,,
