ensembl_id,symbol,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000151632.17,AKR1C2,2.009802926,1.194506835,2.825099016,0.122358084,4.961907369,9.96957E-06,0.082529148,3.161242175
ENSG00000168209.4,DDIT4,1.389513313,0.780566456,1.998460169,-0.148227205,4.592972627,3.39136E-05,0.082529148,2.115151009
ENSG00000077044.10,DGKD,0.608158591,0.339943281,0.8763739,-0.204008868,4.563980919,3.72964E-05,0.082529148,2.03386936
ENSG00000141579.6,ZNF750,0.934216097,0.521506895,1.346925299,-0.089580986,4.556314904,3.82448E-05,0.082529148,2.012402284
ENSG00000251493.4,FOXD1,1.867758329,1.040848825,2.694667832,0.003837071,4.546458554,3.9499E-05,0.082529148,1.984817519
ENSG00000087116.15,ADAMTS2,1.297738073,0.722831686,1.87264446,0.246455032,4.543603764,3.98697E-05,0.082529148,1.976831236
ENSG00000137809.16,ITGA11,1.024117698,0.5701119,1.478123497,0.199626056,4.540451174,4.0283E-05,0.082529148,1.968013616
ENSG00000235641.4,LINC00484,1.247611948,0.692481176,1.80274272,0.123756149,4.523710058,4.25494E-05,0.082529148,1.921220824
ENSG00000077454.15,LRCH4,0.724689521,0.400337216,1.049041826,-0.119550995,4.497234471,4.63908E-05,0.082529148,1.847327958
ENSG00000116668.12,SWT1,0.51040657,0.277688012,0.743125127,-0.193437269,4.414644915,6.06852E-05,0.097163121,1.617708413
ENSG00000072042.12,RDH11,-0.423170988,-0.619244413,-0.227097564,-0.085527358,-4.344178777,7.62175E-05,0.110938009,1.422910918
ENSG00000276043.4,UHRF1,1.448483324,0.770449326,2.126517323,-0.445735143,4.300040705,8.78568E-05,0.112598645,1.301447031
ENSG00000167543.15,TP53I13,1.069666581,0.567245986,1.572087176,-0.043203229,4.285401648,9.20871E-05,0.112598645,1.261258821
ENSG00000197405.7,C5AR1,1.564012129,0.823350728,2.304673531,0.034022595,4.250411152,0.000103019,0.112598645,1.165401138
ENSG00000125841.12,NRSN2,-0.629999375,-0.930688997,-0.329309753,0.277507264,-4.217277875,0.00011453,0.112598645,1.074897882
ENSG00000130254.11,SAFB2,0.503697716,0.262176405,0.745219027,-0.031418396,4.197832079,0.000121859,0.112598645,1.021905245
ENSG00000255933.1,AC117500.2,1.164380186,0.605755168,1.723005203,-0.159762095,4.195511957,0.000122764,0.112598645,1.015588749
ENSG00000143891.16,GALM,0.848590352,0.440133917,1.257046788,0.064951739,4.181796403,0.000128245,0.112598645,0.978275514
ENSG00000131238.17,PPT1,-0.541634047,-0.804073715,-0.27919438,0.027888668,-4.154196311,0.000140006,0.112598645,0.903331519
ENSG00000067064.11,IDI1,-0.701003852,-1.042798183,-0.359209521,-0.101234486,-4.128250932,0.000152014,0.112598645,0.833056727
ENSG00000044524.10,EPHA3,-0.642349715,-0.956434244,-0.328265187,0.203034207,-4.11657024,0.000157741,0.112598645,0.801475366
ENSG00000067221.13,STOML1,-0.627063266,-0.935543716,-0.318582816,0.217975119,-4.091610198,0.000170691,0.112598645,0.734109791
ENSG00000117724.12,CENPF,-0.959703722,-1.433055452,-0.486351992,0.169968787,-4.080973251,0.000176518,0.112598645,0.705451357
ENSG00000173852.14,DPY19L1,-0.607005608,-0.907312071,-0.306699145,0.045798625,-4.068539739,0.000183574,0.112598645,0.671990866
ENSG00000159588.14,CCDC17,1.312680336,0.662913063,1.962447609,-0.321538771,4.066414863,0.000184807,0.112598645,0.666276655
ENSG00000269439.5,AC010618.3,1.235573208,0.622432133,1.848714284,-0.163404376,4.056192986,0.000190852,0.112598645,0.638805059
ENSG00000136888.6,ATP6V1G1,-0.536487838,-0.805133977,-0.267841699,0.050576788,-4.019664584,0.00021406,0.112598645,0.54086723
ENSG00000213221.4,DNLZ,1.114474697,0.555626041,1.673323353,-0.043145669,4.014084775,0.000217838,0.112598645,0.525939453
ENSG00000065717.14,TLE2,0.666485031,0.330513514,1.002456549,0.157423455,3.992992338,0.000232711,0.112598645,0.469589329
ENSG00000198276.15,UCKL1,0.518879626,0.256971718,0.780787533,-0.120880595,3.987755711,0.000236554,0.112598645,0.455618735
ENSG00000068137.14,PLEKHH3,0.833790621,0.412097913,1.255483329,0.028301314,3.97989352,0.000242438,0.112598645,0.434658158
ENSG00000166166.12,TRMT61A,0.82757583,0.408178751,1.246972908,-0.057541544,3.971850883,0.000248604,0.112598645,0.413234804
ENSG00000116459.10,ATP5PB,-0.626208264,-0.944133057,-0.30828347,-0.001581904,-3.964650736,0.000254253,0.112598645,0.394071378
ENSG00000104915.14,STX10,0.518048459,0.253983813,0.782113105,-0.100187269,3.948850241,0.000267088,0.112598645,0.352070434
ENSG00000181090.20,EHMT1,0.532638794,0.261007436,0.804270152,-0.12752303,3.946966382,0.00026866,0.112598645,0.3470676
ENSG00000198324.13,PHETA1,1.000120317,0.489962758,1.510277875,0.153959828,3.94601255,0.000269459,0.112598645,0.344534969
ENSG00000143552.9,NUP210L,1.419914586,0.694952915,2.144876256,-0.159903625,3.94237301,0.000272529,0.112598645,0.334873643
ENSG00000100364.18,KIAA0930,0.653546306,0.318883979,0.988208634,-0.116869091,3.930792113,0.000282525,0.112598645,0.304157502
ENSG00000196739.14,COL27A1,1.26094333,0.61438739,1.907499271,0.117699829,3.925545364,0.00028717,0.112598645,0.29025451
ENSG00000058453.16,CROCC,0.842634435,0.408260724,1.277008146,-0.013484859,3.904686832,0.000306376,0.112598645,0.235063887
ENSG00000012174.11,MBTPS2,-0.804386286,-1.219052785,-0.389719787,-0.025466749,-3.904597266,0.000306461,0.112598645,0.234827179
ENSG00000271538.5,LINC02427,-1.548144573,-2.346236638,-0.750052507,-0.194856535,-3.904532656,0.000306523,0.112598645,0.234656428
ENSG00000260971.4,AC119674.1,1.556413565,0.749503588,2.363323542,-0.340289826,3.882491021,0.000328176,0.112598645,0.176478413
ENSG00000178860.8,MSC,-1.175669753,-1.785317149,-0.566022358,0.250446901,-3.881657035,0.000329024,0.112598645,0.174280033
ENSG00000167815.11,PRDX2,-0.791092645,-1.201609731,-0.380575558,0.091603045,-3.878882703,0.000331859,0.112598645,0.166968442
ENSG00000006704.10,GTF2IRD1,0.595859826,0.286581819,0.905137833,0.015375991,3.877980361,0.000332786,0.112598645,0.164590878
ENSG00000176783.14,RUFY1,0.465383028,0.223718266,0.707047789,-0.040841121,3.876214039,0.000334609,0.112598645,0.159937549
ENSG00000086717.18,PPEF1,-1.683037837,-2.557650069,-0.808425605,0.018362608,-3.873368985,0.000337564,0.112598645,0.152444335
ENSG00000271009.3,AC116667.1,1.346439913,0.641190527,2.0516893,-0.101887324,3.842862082,0.00037088,0.115653939,0.072252964
ENSG00000184009.11,ACTG1,-0.51943231,-0.792931577,-0.245933042,-0.030958833,-3.822815427,0.000394477,0.115653939,0.01971559
ENSG00000166578.9,IQCD,0.943968291,0.44679273,1.441143851,-0.120377426,3.821713898,0.000395815,0.115653939,0.016832421
ENSG00000179593.15,ALOX15B,1.899532217,0.897674948,2.901389485,0.23527949,3.816377691,0.000402357,0.115653939,0.002870738
ENSG00000178935.5,ZNF552,0.906833811,0.428340817,1.385326806,0.080281937,3.814719935,0.000404411,0.115653939,-0.001464787
ENSG00000106153.12,CHCHD2,-0.62706507,-0.958321956,-0.295808185,-0.014946795,-3.810291779,0.000409947,0.115653939,-0.013041445
ENSG00000149922.10,TBX6,1.268173865,0.598193229,1.9381545,-0.22449201,3.810018515,0.000410291,0.115653939,-0.013755644
ENSG00000159377.10,PSMB4,-0.497538082,-0.761196965,-0.2338792,-0.026002184,-3.798345444,0.000425247,0.115653939,-0.044241891
ENSG00000188566.13,NDOR1,0.682240825,0.320294792,1.044186858,-0.075058514,3.794061976,0.000430867,0.115653939,-0.05541796
ENSG00000128487.16,SPECC1,0.346336532,0.162559068,0.530113996,-0.143033213,3.793294731,0.000431881,0.115653939,-0.05741917
ENSG00000171097.13,KYAT1,0.474466367,0.222614633,0.726318101,-0.035806667,3.792023546,0.000433566,0.115653939,-0.060734389
ENSG00000140105.17,WARS,-0.71808793,-1.099883125,-0.336292736,0.085199232,-3.785800355,0.000441907,0.115653939,-0.076956806
ENSG00000049540.16,ELN,1.290541392,0.603992793,1.97708999,-0.332505965,3.783652051,0.000444823,0.115653939,-0.08255403
ENSG00000104859.14,CLASRP,0.665125327,0.310687083,1.01956357,-0.170275614,3.777230153,0.000453648,0.115653939,-0.099276824
ENSG00000071205.11,ARHGAP10,0.593784516,0.276371977,0.911197055,0.085004113,3.76543649,0.000470297,0.115653939,-0.129952882
ENSG00000166387.12,PPFIBP2,0.960094297,0.446092955,1.474095638,-0.473391651,3.759760454,0.000478519,0.115653939,-0.144700397
ENSG00000176170.13,SPHK1,1.492498997,0.691296448,2.293701546,-0.277188193,3.74957689,0.000493617,0.115653939,-0.171132845
ENSG00000196154.11,S100A4,1.665293736,0.770982134,2.559605339,-0.076882661,3.748111667,0.000495826,0.115653939,-0.17493316
ENSG00000130528.11,HRC,1.288783419,0.596514453,1.981052385,0.083342637,3.747275426,0.000497092,0.115653939,-0.177101781
ENSG00000115461.4,IGFBP5,1.241787066,0.574264671,1.90930946,-0.464858654,3.74448271,0.00050134,0.115653939,-0.184342445
ENSG00000162804.13,SNED1,0.635290216,0.293661297,0.976919135,0.023038944,3.743071117,0.000503501,0.115653939,-0.188001293
ENSG00000004059.10,ARF5,-0.692822629,-1.065987709,-0.319657548,0.130274705,-3.737073203,0.000512783,0.115653939,-0.2035405
ENSG00000151748.14,SAV1,0.429752902,0.198278138,0.661227667,-0.196889034,3.737022434,0.000512862,0.115653939,-0.203671979
ENSG00000198917.12,SPOUT1,0.617987221,0.284176558,0.951797884,-0.099580601,3.726403053,0.000529702,0.115944797,-0.231154748
ENSG00000273230.1,AC102953.2,0.897534005,0.412526856,1.382541155,0.205798789,3.724888774,0.000532147,0.115944797,-0.235070601
ENSG00000101191.16,DIDO1,0.346227036,0.158882806,0.533571266,-0.025280671,3.719899384,0.000540277,0.115944797,-0.247967481
ENSG00000146701.11,MDH2,-0.661081274,-1.018959901,-0.303202646,0.127624628,-3.718173317,0.000543118,0.115944797,-0.252427176
ENSG00000120071.14,KANSL1,0.386084968,0.175658512,0.596511425,-0.0349552,3.693117189,0.000586005,0.116458077,-0.317051986
