gene,gene_name,BA17_THp_HA_vs_AD.l2fc,BA17_THp_HA_vs_AD.pval,BA17_THp_HA_vs_AD.padj,BA17_THp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000196850,PPTC7,0.071328027,0.781920389,0.999962927,0.078418604,,,,,
ENSG00000186501,TMEM222,0.184060117,0.320198899,0.999962927,0.208035361,,,,,
ENSG00000100916,BRMS1L,0.12358056,0.457221668,0.999962927,0.110204472,,,,,
ENSG00000175497,DPP10,0.167589071,0.583565565,0.999962927,0.21226533,,,,,
ENSG00000123091,RNF11,0.271343808,0.14440566,0.999962927,0.272701716,,,,,
ENSG00000173918,C1QTNF1,0.538623553,0.086796897,0.999962927,0.803341868,,,,,
ENSG00000233621,LINC01137,0.065527974,0.8071667,0.999962927,-0.03432992,,,,,
ENSG00000179456,ZBTB18,0.081160597,0.770664731,0.999962927,0.108874202,,,,,
ENSG00000106723,SPIN1,-0.089360568,0.673567466,0.999962927,-0.107418465,,,,,
ENSG00000262246,CORO7,-0.34995324,0.116614991,0.999962927,-0.383550473,,,,,
ENSG00000164830,OXR1,0.491102691,0.102191599,0.999962927,0.737354696,,,,,
ENSG00000139410,SDSL,0.533092619,0.055297434,0.999962927,0.635571524,,,,,
ENSG00000113805,CNTN3,0.282814122,0.397131621,0.999962927,0.54296749,,,,,
ENSG00000152822,GRM1,0.004093801,0.990203323,0.999962927,-0.081156889,,,,,
ENSG00000152332,UHMK1,0.009957328,0.953574041,0.999962927,-0.006959971,,,,,
ENSG00000134909,ARHGAP32,0.147591788,0.620325968,0.999962927,0.194640299,,,,,
ENSG00000185774,KCNIP4,0.212990309,0.509330236,0.999962927,0.32041358,,,,,
ENSG00000149599,DUSP15,0.218479113,0.463409942,0.999962927,0.302617556,,,,,
ENSG00000145715,RASA1,0.111869936,0.668260113,0.999962927,0.126534564,,,,,
ENSG00000228971,LINC02607,-0.002137678,0.994875581,0.999962927,-0.03791099,,,,,
ENSG00000152503,TRIM36,0.082671925,0.799223517,0.999962927,0.089966361,,,,,
ENSG00000171502,COL24A1,0.162097253,0.62746379,0.999962927,0.199142555,,,,,
ENSG00000187479,C11orf96,0.714455156,0.032147756,0.999962927,1.39374127,,,,,
ENSG00000142192,APP,0.236590534,0.181063382,0.999962927,0.234100912,,,,,
ENSG00000100280,AP1B1,0.210284411,0.209554555,0.999962927,0.234452825,,,,,
ENSG00000167470,MIDN,0.451831469,0.098683247,0.999962927,0.511518293,,,,,
ENSG00000179403,VWA1,0.234622098,0.406407686,0.999962927,0.262571388,,,,,
ENSG00000165688,PMPCA,0.129313737,0.347633055,0.999962927,0.14206684,,,,,
ENSG00000024422,EHD2,0.290623591,0.321560969,0.999962927,0.309626284,,,,,
