gene,gene_name,BA20_SNp_HA_vs_AD.l2fc,BA20_SNp_HA_vs_AD.pval,BA20_SNp_HA_vs_AD.padj,BA20_SNp_HA_vs_AD.raw_l2fc,,,,,
ENSG00000196850,PPTC7,-0.043860375,0.82915125,0.90481158,-0.019852464,,,,,
ENSG00000186501,TMEM222,0.299124092,0.100263927,0.28273038,0.304897858,,,,,
ENSG00000100916,BRMS1L,-0.06296715,0.774435942,0.871026423,-0.067762117,,,,,
ENSG00000175497,DPP10,-0.090195538,0.75192826,0.857516301,-0.087612556,,,,,
ENSG00000123091,RNF11,-0.00821115,0.965422427,0.981560047,0.012072792,,,,,
ENSG00000173918,C1QTNF1,0.896016784,0.011020792,,1.189405557,,,,,
ENSG00000233621,LINC01137,0.037517937,0.911510907,,-0.265936402,,,,,
ENSG00000179456,ZBTB18,0.193989851,0.440722576,0.63480272,0.234468164,,,,,
ENSG00000106723,SPIN1,-0.253314324,0.140605581,0.338829449,-0.222343567,,,,,
ENSG00000262246,CORO7,-5.96E-05,0.999826197,0.99990809,0.017333759,,,,,
ENSG00000164830,OXR1,0.204827208,0.480455,0.667237892,0.269127313,,,,,
ENSG00000139410,SDSL,0.827266266,0.015226027,0.120174395,1.056492787,,,,,
ENSG00000113805,CNTN3,0.476137418,0.200046846,,0.664117788,,,,,
ENSG00000152822,GRM1,0.762680781,0.057321759,0.214429742,1.122676234,,,,,
ENSG00000152332,UHMK1,-0.120002306,0.588136839,0.746171114,-0.10838563,,,,,
ENSG00000134909,ARHGAP32,-0.215659585,0.421770563,0.619266302,-0.203673518,,,,,
ENSG00000185774,KCNIP4,0.347228798,0.25953109,0.472813591,0.449155949,,,,,
ENSG00000149599,DUSP15,0.144912708,0.631213084,0.777083259,0.168241736,,,,,
ENSG00000145715,RASA1,-0.085042975,0.747124698,0.855183308,-0.082543612,,,,,
ENSG00000228971,LINC02607,0.476658845,0.220584219,0.433650935,0.701020963,,,,,
ENSG00000152503,TRIM36,0.72756482,0.036509283,0.173657788,0.946910311,,,,,
ENSG00000171502,COL24A1,0.778684787,0.058507461,,1.539156521,,,,,
ENSG00000187479,C11orf96,0.579495311,0.109782993,0.295366792,0.771665379,,,,,
ENSG00000142192,APP,-0.011123604,0.95844521,0.977088851,-0.021474201,,,,,
ENSG00000100280,AP1B1,0.429793498,0.028452499,0.154402228,0.470445386,,,,,
ENSG00000167470,MIDN,0.58356252,0.031303649,0.161069345,0.651312712,,,,,
ENSG00000179403,VWA1,0.173220894,0.552022312,0.720581285,0.205363802,,,,,
ENSG00000165688,PMPCA,0.231483373,0.212755078,0.42474485,0.251839825,,,,,
ENSG00000024422,EHD2,0.083549973,0.739795128,0.851271719,0.12227163,,,,,
ENSG00000144290,SLC4A10,1.046376186,0.010465667,0.103180062,1.666562704,,,,,
ENSG00000041353,RAB27B,0.445241775,0.260736518,0.473651124,0.687029338,,,,,
ENSG00000030110,BAK1,0.185639372,0.416174879,0.615157195,0.197785589,,,,,
ENSG00000120156,TEK,0.340532059,0.141641128,0.339929398,0.370447938,,,,,
ENSG00000100003,SEC14L2,-0.160617592,0.463672235,0.653670244,-0.193633802,,,,,
ENSG00000272944,AC079834.2,0.016690273,0.966487538,,-0.037347984,,,,,
ENSG00000180044,C3orf80,1.155588063,0.002504944,0.063771025,1.641756108,,,,,
ENSG00000128656,CHN1,0.639150373,0.032814112,0.164764432,0.761981636,,,,,
ENSG00000196950,SLC39A10,1.068108501,0.007876702,0.093012118,1.6918903,,,,,
ENSG00000081026,MAGI3,0.327803922,0.196513474,0.405765699,0.350641794,,,,,
ENSG00000134121,CHL1,0.915684334,0.013746586,0.114430773,1.2099601,,,,,
ENSG00000145545,SRD5A1,-0.122721164,0.62488833,0.772646735,-0.138915658,,,,,
ENSG00000126733,DACH2,0.331158668,0.403201939,0.604951545,0.453846432,,,,,
ENSG00000117069,ST6GALNAC5,1.176814886,0.003464547,0.068229218,1.829563276,,,,,
ENSG00000253553,AC090578.1,0.270963082,0.518317153,,0.605290785,,,,,
ENSG00000186479,RGS7BP,0.062236484,0.876227893,0.931797047,0.091804496,,,,,
ENSG00000101958,GLRA2,1.099640543,0.008501037,,2.12095452,,,,,
ENSG00000076554,TPD52,-0.215359703,0.344173295,0.554546837,-0.240923743,,,,,
ENSG00000198673,FAM19A2,0.396468527,0.268261921,0.482240769,0.573413504,,,,,
ENSG00000105143,SLC1A6,0.844166438,0.015483578,0.121111142,1.045064072,,,,,
ENSG00000176165,FOXG1,0.418427041,0.090208507,0.267406134,0.445107876,,,,,
ENSG00000171033,PKIA,0.007440636,0.972837142,0.985834812,0.035734715,,,,,
ENSG00000163702,IL17RC,0.358345488,0.188591762,0.397901942,0.413398119,,,,,
ENSG00000117298,ECE1,-0.020054709,0.921331718,0.956180219,-0.03159965,,,,,
ENSG00000055813,CCDC85A,-0.253225967,0.484579023,,-0.344678594,,,,,
ENSG00000278982,AL139125.1,0.290737928,0.480319087,,0.804925887,,,,,
ENSG00000225110,PNMA6F,0.771255481,0.040896113,0.182706275,1.034904243,,,,,
ENSG00000260244,AC104083.1,0.331056551,0.338838076,0.54996776,0.46000927,,,,,
ENSG00000124749,COL21A1,-0.540424293,0.182059607,,-0.872076653,,,,,
ENSG00000164112,TMEM155,0.514349489,0.202545548,0.41190433,0.813859926,,,,,
ENSG00000113100,CDH9,1.269203597,0.002526019,,2.809424049,,,,,
ENSG00000259583,AC015712.2,0.531135932,0.139523301,,0.719169405,,,,,
ENSG00000275395,FCGBP,0.673975057,0.108912249,0.294272751,1.52755439,,,,,
ENSG00000105559,PLEKHA4,-0.238719691,0.523189672,0.697903593,-0.317637985,,,,,
ENSG00000083750,RRAGB,0.175500713,0.497307313,0.680883863,0.20888806,,,,,
ENSG00000175938,ORAI3,0.20563187,0.433065949,0.628669033,0.231230395,,,,,
ENSG00000154027,AK5,-0.314463331,0.210506954,0.421890928,-0.409372093,,,,,
ENSG00000197905,TEAD4,0.60056437,0.15241362,,1.271135798,,,,,
ENSG00000182568,SATB1,-0.342204015,0.092428084,0.271024713,-0.328512012,,,,,
ENSG00000120251,GRIA2,0.617187831,0.041062193,0.183130697,0.776546878,,,,,
ENSG00000109339,MAPK10,-0.11293035,0.506435905,0.687217427,-0.095218523,,,,,
ENSG00000087884,AAMDC,-0.194093314,0.445522568,0.638467673,-0.283530577,,,,,
ENSG00000206052,DOK6,0.250934909,0.506599486,0.687315789,0.276231573,,,,,
ENSG00000101850,GPR143,0.466722256,0.100691973,0.283348465,0.516205024,,,,,
ENSG00000103316,CRYM,1.043942751,0.008926209,0.097747995,1.598216366,,,,,
ENSG00000104969,SGTA,0.083194025,0.61404683,0.764506148,0.067030136,,,,,
ENSG00000185742,C11orf87,1.022253748,0.010909595,0.104311793,1.561277004,,,,,
ENSG00000112038,OPRM1,0.700351607,0.095668051,,1.517313671,,,,,
ENSG00000101977,MCF2,0.592952835,0.093408978,0.272802477,0.768419989,,,,,
ENSG00000109103,UNC119,0.304132384,0.127596263,0.321957093,0.327920188,,,,,
ENSG00000146540,C7orf50,0.303686485,0.201817568,0.410866195,0.292545604,,,,,
ENSG00000050628,PTGER3,0.464620583,0.267254738,,0.990453086,,,,,
ENSG00000177879,AP3S1,0.132771971,0.437086021,0.631426918,0.130669349,,,,,
ENSG00000142875,PRKACB,0.059203376,0.794389533,0.885152053,0.072562655,,,,,
ENSG00000153253,SCN3A,0.639590194,0.023959763,0.143406231,0.724284258,,,,,
ENSG00000162545,CAMK2N1,-0.160940603,0.317617904,0.529507729,-0.150852103,,,,,
ENSG00000204789,ZNF204P,-0.063819341,0.835821104,0.909307665,-0.014746382,,,,,
ENSG00000124216,SNAI1,0.222451572,0.54539826,,0.447303782,,,,,
ENSG00000158156,XKR8,0.072462486,0.762708603,0.863278225,0.078898853,,,,,
ENSG00000172264,MACROD2,0.639272587,0.023083731,0.141279377,0.724533609,,,,,
ENSG00000203993,ARRDC1-AS1,0.026735316,0.898240756,0.943930739,0.039739916,,,,,
ENSG00000147246,HTR2C,0.335690208,0.3670327,,1.354225965,,,,,
ENSG00000179520,SLC17A8,0.382492832,0.36065628,,0.821397621,,,,,
ENSG00000162490,DRAXIN,0.343115263,0.362932755,0.571115349,0.508865747,,,,,
ENSG00000165973,NELL1,0.711530291,0.063553246,0.225500518,0.992392716,,,,,
ENSG00000125534,PPDPF,0.238903165,0.350693019,0.56039285,0.256797814,,,,,
ENSG00000187091,PLCD1,0.412424723,0.144598324,0.343758867,0.479344952,,,,,
ENSG00000162645,GBP2,0.398510648,0.343237399,0.553769642,0.804522015,,,,,
ENSG00000075234,TTC38,-0.153874176,0.542198539,0.712850669,-0.227530227,,,,,
ENSG00000108395,TRIM37,0.010970636,0.969968701,0.984249154,0.087561423,,,,,
