Gene,AD vs Control: Hippocampus - Log2(fold change) - RIN Corrected,AD vs Control: Hippocampus - SVA P-value -  RIN corrected
A1BG-AS1,-0.041,9.21E-01
A2M,0.072,9.06E-01
A2M-AS1,0.003,9.03E-01
A2ML1,0.164,5.14E-01
AAAS,0.027,8.54E-01
AACS,-0.006,8.95E-01
AADAT,0.021,9.62E-01
AAED1,0.040,9.61E-01
AAGAB,-0.028,9.21E-01
AAK1,-0.064,7.75E-01
AAMDC,-0.017,9.73E-01
AAMP,0.009,8.26E-01
AAR2,0.058,6.21E-01
AARS,0.024,8.57E-01
AARS2,-0.041,6.39E-01
AARSD1,-0.027,7.30E-01
AASDH,-0.010,9.86E-01
AASDHPPT,-0.098,5.81E-01
AASS,0.015,9.93E-01
AATF,0.014,8.05E-01
AATK,0.104,8.57E-01
ABAT,-0.054,7.18E-01
ABCA1,0.111,4.93E-01
ABCA10,-0.054,5.43E-01
ABCA11P,-0.056,5.43E-01
ABCA2,0.031,9.07E-01
ABCA3,0.025,9.55E-01
ABCA5,-0.119,4.33E-01
ABCA6,0.090,5.52E-01
ABCA7,0.072,7.44E-01
ABCA8,-0.081,8.81E-01
ABCA9,0.039,7.49E-01
ABCB1,0.015,8.78E-01
ABCB10,-0.054,6.02E-01
ABCB5,0.024,9.26E-01
ABCB6,-0.017,9.99E-01
ABCB7,0.081,5.12E-01
ABCB8,0.008,9.86E-01
ABCB9,-0.036,6.70E-01
ABCC1,0.056,6.43E-01
ABCC10,0.031,9.54E-01
ABCC4,0.024,9.92E-01
ABCC5,-0.068,7.07E-01
ABCC8,-0.061,6.06E-01
ABCC9,0.079,7.75E-01
ABCD2,-0.114,5.43E-01
ABCD3,-0.035,8.35E-01
ABCD4,0.076,5.34E-01
ABCE1,-0.054,6.01E-01
ABCF1,0.052,6.85E-01
ABCF2,-0.018,9.20E-01
ABCF3,-0.006,9.94E-01
ABCG1,0.025,9.28E-01
ABCG2,-0.039,8.81E-01
ABCG4,-0.041,7.67E-01
ABHD10,0.014,9.98E-01
ABHD11,0.042,8.26E-01
ABHD12,-0.044,9.19E-01
ABHD12B,0.055,8.97E-01
ABHD13,-0.068,7.32E-01
ABHD14A,0.022,9.74E-01
ABHD14B,0.093,5.39E-01
ABHD15,0.097,4.98E-01
ABHD16A,0.022,8.78E-01
ABHD17A,0.036,9.93E-01
ABHD17B,-0.028,9.83E-01
ABHD17C,-0.032,8.68E-01
ABHD2,-0.015,7.56E-01
ABHD3,-0.035,8.37E-01
ABHD4,0.121,4.32E-01
ABHD5,0.042,6.73E-01
ABHD6,0.029,7.12E-01
ABHD8,0.022,9.81E-01
ABI1,-0.020,8.62E-01
ABI2,-0.080,5.03E-01
ABI3,0.141,4.98E-01
ABI3BP,0.095,6.67E-01
ABL1,0.061,7.06E-01
ABL2,0.005,9.99E-01
ABLIM1,0.087,4.60E-01
ABLIM2,-0.035,7.42E-01
ABLIM3,0.072,7.47E-01
ABR,-0.001,8.38E-01
ABRACL,-0.126,6.30E-01
ABT1,-0.025,5.56E-01
ABTB1,0.052,8.44E-01
ABTB2,0.044,7.36E-01
ACAA1,-0.024,7.88E-01
ACAA2,0.044,8.35E-01
ACACA,-0.007,9.96E-01
ACACB,0.090,5.14E-01
ACAD10,-0.014,9.96E-01
ACAD11,-0.046,8.98E-01
ACAD8,-0.020,9.28E-01
ACAD9,-0.014,9.45E-01
ACADL,0.043,9.17E-01
ACADM,-0.019,9.65E-01
ACADS,0.067,9.75E-01
ACADSB,-0.045,6.29E-01
ACADVL,0.077,5.52E-01
ACAP2,-0.049,7.28E-01
ACAP3,-0.018,8.60E-01
ACAT1,0.042,8.53E-01
ACAT2,0.061,9.89E-01
ACBD3,0.020,9.86E-01
ACBD4,0.062,7.83E-01
ACBD5,0.025,8.40E-01
ACBD6,-0.011,6.41E-01
ACBD7,-0.166,6.31E-01
ACCS,0.082,8.34E-01
ACD,0.064,8.25E-01
ACER1,-0.059,7.32E-01
ACER2,-0.038,5.49E-01
ACER3,-0.005,9.52E-01
ACHE,0.002,9.99E-01
ACIN1,0.059,6.25E-01
ACKR1,-0.098,6.60E-01
ACKR3,0.097,6.73E-01
ACKR4,0.001,9.57E-01
ACLY,0.027,8.80E-01
ACO1,-0.002,9.42E-01
ACO2,-0.031,6.99E-01
ACOT1,0.159,7.63E-01
ACOT11,0.033,9.60E-01
ACOT13,-0.022,9.93E-01
ACOT2,0.010,9.41E-01
ACOT4,-0.033,8.33E-01
ACOT6,0.083,5.51E-01
ACOT7,-0.048,7.77E-01
ACOT8,0.001,9.17E-01
ACOT9,0.004,8.47E-01
ACOX1,0.002,8.19E-01
ACOX2,0.059,7.21E-01
ACOX3,0.005,8.60E-01
ACP1,-0.056,6.95E-01
ACP2,-0.014,6.97E-01
ACP6,0.147,4.32E-01
ACRC,0.092,9.79E-01
ACSBG1,-0.033,9.24E-01
ACSF2,0.004,9.31E-01
ACSF3,0.055,6.30E-01
ACSL1,0.041,8.31E-01
ACSL3,-0.052,7.30E-01
ACSL4,-0.079,6.82E-01
ACSL5,-0.034,6.93E-01
ACSL6,-0.139,5.34E-01
ACSM5,0.090,7.43E-01
ACSS1,0.059,7.34E-01
ACSS2,-0.012,9.71E-01
ACSS3,0.088,6.29E-01
ACTA2,0.110,9.31E-01
ACTA2-AS1,0.026,8.96E-01
ACTB,-0.023,7.43E-01
ACTBP3,-0.156,5.76E-01
ACTBP4,-0.009,8.95E-01
ACTBP7,0.025,7.30E-01
ACTG1,-0.012,7.21E-01
ACTG1P12,-0.038,6.05E-01
ACTG1P17,-0.091,8.05E-01
ACTG1P18,-0.062,8.17E-01
ACTG1P20,-0.008,8.02E-01
ACTG1P3,0.032,8.03E-01
ACTG1P4,-0.074,6.91E-01
ACTL6A,0.141,5.32E-01
ACTL6B,-0.053,7.91E-01
