Gene,AD vs Control: Parietal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Parietal Cortex - SVA P-value -  RIN corrected
A1BG-AS1,0.061,6.07E-01
A2M,-0.006,9.10E-01
A2M-AS1,0.012,8.30E-01
A2ML1,0.042,9.51E-01
AAAS,0.032,8.36E-01
AACS,0.019,9.55E-01
AADAT,-0.016,7.82E-01
AAED1,0.012,9.90E-01
AAGAB,-0.024,9.92E-01
AAK1,-0.101,8.06E-01
AAMDC,-0.039,8.54E-01
AAMP,-0.011,8.37E-01
AAR2,0.018,9.98E-01
AARS,0.044,6.30E-01
AARS2,0.021,9.63E-01
AARSD1,0.029,9.91E-01
AASDH,-0.039,6.79E-01
AASDHPPT,-0.094,7.71E-01
AASS,-0.068,6.43E-01
AATF,0.023,9.08E-01
AATK,0.100,9.77E-01
ABAT,-0.021,9.37E-01
ABCA1,0.163,7.18E-01
ABCA10,-0.059,8.09E-01
ABCA11P,-0.064,6.21E-01
ABCA2,-0.010,8.42E-01
ABCA3,0.087,7.82E-01
ABCA5,-0.105,6.54E-01
ABCA6,-0.078,8.17E-01
ABCA7,0.108,7.19E-01
ABCA8,-0.147,7.35E-01
ABCA9,0.011,8.90E-01
ABCB1,0.062,9.83E-01
ABCB10,-0.081,6.01E-01
ABCB5,0.051,7.40E-01
ABCB6,0.039,8.71E-01
ABCB7,-0.004,8.58E-01
ABCB8,0.037,9.63E-01
ABCB9,0.115,6.56E-01
ABCC1,0.067,6.45E-01
ABCC10,0.085,7.13E-01
ABCC4,-0.044,7.70E-01
ABCC5,-0.085,7.92E-01
ABCC8,0.025,9.93E-01
ABCC9,0.011,9.76E-01
ABCD2,-0.068,7.59E-01
ABCD3,-0.043,7.20E-01
ABCD4,0.037,9.90E-01
ABCE1,-0.060,6.64E-01
ABCF1,0.006,9.85E-01
ABCF2,0.012,8.86E-01
ABCF3,-0.069,8.00E-01
ABCG1,0.037,8.30E-01
ABCG2,-0.015,8.86E-01
ABCG4,-0.011,8.65E-01
ABHD10,-0.096,7.09E-01
ABHD11,-0.026,9.89E-01
ABHD12,-0.039,8.22E-01
ABHD12B,0.002,9.85E-01
ABHD13,-0.096,7.42E-01
ABHD14A,0.026,7.84E-01
ABHD14B,0.016,9.54E-01
ABHD15,-0.048,9.71E-01
ABHD16A,0.052,6.79E-01
ABHD17A,0.162,8.03E-01
ABHD17B,-0.112,6.56E-01
ABHD17C,0.018,8.15E-01
ABHD2,0.022,8.07E-01
