Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
A1BG-AS1,-0.032,6.62E-01,,,
A2M,-0.007,8.40E-01,,,
A2M-AS1,0.059,4.84E-01,,,
A2ML1,0.060,7.79E-01,,,
AAAS,0.030,4.94E-01,,,
AACS,-0.022,8.99E-01,,,
AADAT,-0.010,9.40E-01,,,
AAED1,0.001,9.30E-01,,,
AAGAB,-0.062,7.57E-01,,,
AAK1,-0.072,6.63E-01,,,
AAMDC,-0.106,7.19E-01,,,
AAMP,0.029,8.55E-01,,,
AAR2,0.015,8.65E-01,,,
AARS,-0.003,9.91E-01,,,
AARS2,0.035,9.61E-01,,,
AARSD1,-0.033,7.48E-01,,,
AASDH,-0.061,4.94E-01,,,
AASDHPPT,-0.064,6.26E-01,,,
AASS,-0.034,7.35E-01,,,
AATF,0.028,7.79E-01,,,
AATK,0.346,2.00E-01,,,
ABAT,-0.074,4.21E-01,,,
ABCA1,0.029,8.36E-01,,,
ABCA10,-0.069,3.02E-01,,,
ABCA11P,-0.055,3.35E-01,,,
ABCA2,0.270,2.01E-01,,,
ABCA3,0.149,2.80E-01,,,
ABCA5,-0.165,1.87E-01,,,
ABCA6,0.027,8.42E-01,,,
ABCA7,0.151,3.49E-01,,,
ABCA8,0.102,7.07E-01,,,
ABCA9,-0.017,9.51E-01,,,
ABCB1,0.004,9.31E-01,,,
ABCB10,-0.088,1.98E-01,,,
ABCB5,-0.022,9.43E-01,,,
ABCB6,0.009,9.67E-01,,,
ABCB7,-0.023,9.81E-01,,,
ABCB8,0.086,5.01E-01,,,
ABCB9,0.142,2.53E-01,,,
ABCC1,0.054,2.68E-01,,,
ABCC10,0.208,1.93E-01,,,
ABCC4,-0.092,3.94E-01,,,
ABCC5,-0.050,6.20E-01,,,
ABCC8,-0.020,6.57E-01,,,
ABCC9,-0.044,6.28E-01,,,
ABCD2,-0.093,4.20E-01,,,
ABCD3,-0.055,5.86E-01,,,
ABCD4,0.042,9.34E-01,,,
ABCE1,-0.051,4.31E-01,,,
ABCF1,0.036,7.09E-01,,,
ABCF2,-0.005,9.97E-01,,,
ABCF3,-0.043,7.51E-01,,,
ABCG1,0.086,2.31E-01,,,
ABCG2,-0.050,6.80E-01,,,
ABCG4,0.025,9.24E-01,,,
ABHD10,-0.089,6.12E-01,,,
ABHD11,0.046,7.51E-01,,,
