Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
A2M,0.49,9.4,4.1E-03,1.1E-02,1,0.03
A2ML1,0.37,3.4,2.0E-01,2.9E-01,1,0.01
A4GALT,1.08,4.6,7.4E-10,1.3E-08,1,0.29
AAAS,0.17,5.1,4.9E-02,9.1E-02,1,0.01
AACS,-0.72,5.3,4.5E-07,3.7E-06,0,0.13
AADAT,-0.45,3.0,1.3E-04,5.3E-04,0,0.05
AAED1,0.51,3.5,1.8E-06,1.3E-05,1,0.08
AAGAB,-0.57,5.1,1.5E-09,2.4E-08,0,0.14
AAK1,-1.34,5.9,3.1E-17,8.3E-15,0,0.45
AAMDC,0.05,3.5,7.7E-01,8.3E-01,1,0.00
AAMP,-0.25,6.9,1.1E-03,3.4E-03,0,0.02
AANAT,0.55,0.1,1.9E-01,2.7E-01,1,0.01
AAR2,0.12,5.1,1.4E-01,2.2E-01,1,0.00
AARD,-1.12,-0.3,6.9E-03,1.7E-02,0,0.07
AARS,-0.11,8.2,1.8E-01,2.6E-01,0,0.00
AARS2,-0.25,4.4,1.8E-02,4.0E-02,0,0.01
AARSD1,-0.12,0.5,6.3E-01,7.2E-01,0,0.00
AASDH,0.11,3.5,3.8E-01,4.8E-01,1,0.00
AASDHPPT,-0.72,5.9,1.9E-09,3.0E-08,0,0.18
AASS,0.50,4.1,3.3E-03,9.1E-03,1,0.03
AATF,0.29,5.7,7.2E-03,1.8E-02,1,0.02
AATK,0.09,8.4,5.9E-01,6.8E-01,1,0.00
ABAT,-0.44,8.2,1.4E-04,5.8E-04,0,0.05
ABCA1,0.67,5.5,3.0E-05,1.5E-04,1,0.09
ABCA10,0.43,0.3,9.3E-02,1.5E-01,1,0.01
ABCA2,0.32,10.5,2.3E-02,4.8E-02,1,0.01
ABCA3,-0.58,7.5,1.5E-10,3.2E-09,0,0.16
ABCA4,0.81,0.0,2.3E-02,4.8E-02,1,0.04
ABCA5,-0.52,3.9,1.0E-03,3.2E-03,0,0.04
ABCA6,1.63,4.5,1.2E-04,5.0E-04,1,0.18
ABCA7,0.36,3.8,3.4E-02,6.7E-02,1,0.01
ABCA8,0.72,7.1,1.9E-03,5.5E-03,1,0.05
ABCA9,0.78,3.6,8.8E-04,2.9E-03,1,0.07
ABCB1,0.60,6.7,6.9E-04,2.3E-03,1,0.05
ABCB10,0.16,3.4,1.9E-01,2.7E-01,1,0.00
ABCB4,0.19,0.6,5.2E-01,6.2E-01,1,0.00
ABCB6,0.19,3.0,3.2E-01,4.2E-01,1,0.00
ABCB8,-0.33,5.5,1.7E-04,6.9E-04,0,0.03
ABCB9,-0.85,4.3,1.2E-05,6.6E-05,0,0.12
ABCC1,-0.04,4.0,7.8E-01,8.4E-01,0,0.00
ABCC10,0.01,4.3,9.4E-01,9.6E-01,1,0.00
ABCC11,-0.74,0.6,1.6E-03,4.7E-03,0,0.06
ABCC12,-1.37,0.9,2.5E-05,1.3E-04,0,0.18
ABCC2,1.35,0.3,9.2E-06,5.4E-05,1,0.19
ABCC3,1.53,1.2,5.1E-04,1.8E-03,1,0.14
ABCC4,0.42,4.1,2.5E-02,5.2E-02,1,0.02
ABCC5,-0.06,5.9,5.8E-01,6.7E-01,0,0.00
ABCC6,0.52,1.6,3.3E-03,9.0E-03,1,0.04
ABCC8,-1.29,4.0,2.1E-11,5.5E-10,0,0.40
ABCC9,0.05,4.7,8.0E-01,8.5E-01,1,0.00
ABCD2,-1.65,2.6,1.1E-15,1.5E-13,0,0.55
ABCD3,0.12,5.8,1.8E-01,2.7E-01,1,0.00
ABCD4,0.32,5.5,1.2E-03,3.8E-03,1,0.03
ABCE1,-0.54,5.2,1.0E-06,7.8E-06,0,0.09
ABCF1,0.12,5.9,2.2E-01,3.1E-01,1,0.00
ABCF2,-0.11,6.1,1.2E-01,1.9E-01,0,0.00
ABCF3,-0.31,5.9,5.0E-04,1.8E-03,0,0.03
ABCG1,0.34,5.8,5.3E-02,9.6E-02,1,0.01
ABCG2,0.56,6.6,8.3E-03,2.0E-02,1,0.03
ABCG4,-1.52,3.4,1.6E-09,2.5E-08,0,0.38
ABHD1,0.11,1.3,6.7E-01,7.5E-01,1,0.00
ABHD10,-0.24,5.3,5.7E-03,1.4E-02,0,0.01
ABHD11,-0.73,3.3,3.4E-05,1.7E-04,0,0.09
ABHD12,-0.49,7.3,2.8E-06,1.9E-05,0,0.08
ABHD12B,0.18,1.8,4.4E-01,5.4E-01,1,0.00
ABHD13,-0.02,3.5,9.2E-01,9.4E-01,0,0.00
ABHD14A,-0.65,4.8,1.9E-08,2.2E-07,0,0.14
ABHD14B,0.19,4.5,1.9E-01,2.8E-01,1,0.00
ABHD15,0.12,3.4,4.1E-01,5.1E-01,1,0.00
ABHD16A,0.28,2.4,3.4E-02,6.7E-02,1,0.01
ABHD16B,-0.56,1.9,5.1E-03,1.3E-02,0,0.04
ABHD17A,-0.03,6.4,8.1E-01,8.6E-01,0,0.00
ABHD17B,0.27,5.7,3.4E-02,6.7E-02,1,0.01
ABHD17C,-0.32,4.6,2.9E-03,8.0E-03,0,0.02
ABHD2,-0.42,6.9,8.9E-05,3.9E-04,0,0.05
ABHD3,0.26,3.9,1.1E-01,1.8E-01,1,0.01
