MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_bh_adjusted	gene_symbol	ensembl_id	chromosome	start_position	regulation
FAM43A|ENSG00000185112	ad	control	687.0	-2.666	0.007679	--------+-----	0.05796195341848234	FAM43A	ENSG00000185112	3	194685883	Not differentially expressed
SGCE|ENSG00000127990	ad	control	687.0	-0.587	0.5572	++++-+--+-+++-	0.7262479553420745	SGCE	ENSG00000127990	7	94524204	Not differentially expressed
ARID4A|ENSG00000032219	ad	control	687.0	1.777	0.07561	----++++++--++	0.2207398662401861	ARID4A	ENSG00000032219	14	58298504	Not differentially expressed
EXOC6|ENSG00000138190	ad	control	687.0	2.222	0.02627	+++++----++-++	0.11847831162999553	EXOC6	ENSG00000138190	10	92826831	Not differentially expressed
SYNGR3|ENSG00000127561	ad	control	687.0	1.698	0.08957	+++++----+---+	0.24476940664126293	SYNGR3	ENSG00000127561	16	1989660	Not differentially expressed
REV1|ENSG00000135945	ad	control	687.0	0.067	0.9468	--+-+++++---+-	0.9750612370499537	REV1	ENSG00000135945	2	99400475	Not differentially expressed
GPR180|ENSG00000152749	ad	control	687.0	0.466	0.6412	+++++----++-+-	0.7863256382069134	GPR180	ENSG00000152749	13	94601857	Not differentially expressed
LRRC27|ENSG00000148814	ad	control	687.0	-0.186	0.8521	-----+++-----+	0.922082776460444	LRRC27	ENSG00000148814	10	132332154	Not differentially expressed
GABRB1|ENSG00000163288	ad	control	687.0	-0.381	0.7028	++++-----++-++	0.8292527911622988	GABRB1	ENSG00000163288	4	46993723	Not differentially expressed
NRIP1|ENSG00000180530	ad	control	687.0	1.068	0.2854	+++++----+++++	0.487647379169503	NRIP1	ENSG00000180530	21	14961235	Not differentially expressed
FUT11|ENSG00000196968	ad	control	687.0	-2.978	0.002897	------+----+--	0.03540805825242719	FUT11	ENSG00000196968	10	73772276	Not differentially expressed
GHITM|ENSG00000165678	ad	control	687.0	2.168	0.03014	+++++----++-++	0.12822271186440679	GHITM	ENSG00000165678	10	84139482	Not differentially expressed
SOX10|ENSG00000100146	ad	control	687.0	0.04	0.9679	----+++++--+--	0.9844712795056225	SOX10	ENSG00000100146	22	37970686	Not differentially expressed
SSR3|ENSG00000114850	ad	control	687.0	0.549	0.5833	++-++----+++++	0.7461246018601096	SSR3	ENSG00000114850	3	156539553	Not differentially expressed
ADSL|ENSG00000239900	ad	control	687.0	-0.657	0.511	+--+--+++----+	0.689112155809268	ADSL	ENSG00000239900	22	40346461	Not differentially expressed
ELOVL5|ENSG00000012660	ad	control	687.0	-1.242	0.2143	+--------+-+--	0.41194179590273783	ELOVL5	ENSG00000012660	6	53267398	Not differentially expressed
ZDBF2|ENSG00000283649	ad	control	687.0	2.279	0.02268	+++++----++-++	0.10905102920057444	ZDBF2	ENSG00000283649	HSCHR2_6_CTG7_2	388301	Not differentially expressed
PGLS-DT|ENSG00000269439	ad	control	687.0	-2.572	0.0101	-----++-+--+--	0.06807806841046277	PGLS-DT	ENSG00000269439	19	17488990	Not differentially expressed
PITHD1|ENSG00000057757	ad	control	687.0	2.355	0.01852	+++++----++-++	0.09639232763089682	PITHD1	ENSG00000057757	1	23778418	Not differentially expressed
CMAS|ENSG00000111726	ad	control	687.0	4.196	2.717e-05	++++++-+++++++	0.0030309644444444445	CMAS	ENSG00000111726	12	22046218	Upregulated in AD
PCDHGA12|ENSG00000253159	ad	control	687.0	-4.149	3.341e-05	------+------+	0.0033417450980392158	PCDHGA12	ENSG00000253159	5	141430507	Downregulated in AD
SORBS3|ENSG00000120896	ad	control	687.0	-1.792	0.07317	----+--++--+--	0.2165124668435013	SORBS3	ENSG00000120896	8	22544986	Not differentially expressed
FAM32A|ENSG00000105058	ad	control	687.0	-0.331	0.7406	+++--+---+--++	0.8531983935742973	FAM32A	ENSG00000105058	19	16185380	Not differentially expressed
MT1M|ENSG00000205364	ad	control	687.0	-0.619	0.5359	-----++++--++-	0.7086047675490583	MT1M	ENSG00000205364	16	56632659	Not differentially expressed
HIPK2|ENSG00000064393	ad	control	687.0	-1.075	0.2825	----+++++-++--	0.4850034199726402	HIPK2	ENSG00000064393	7	139561570	Not differentially expressed
FRMPD1|ENSG00000070601	ad	control	687.0	0.233	0.8157	++++++-+-----+	0.8994649093904449	FRMPD1	ENSG00000070601	9	37650954	Not differentially expressed
EIF4G1|ENSG00000114867	ad	control	687.0	-1.135	0.2563	-----++++-----	0.457385709207252	EIF4G1	ENSG00000114867	3	184314495	Not differentially expressed
HSPA14|ENSG00000187522	ad	control	687.0	2.692	0.007095	+++++----+++++	0.0557376875	HSPA14	ENSG00000187522	10	14838306	Not differentially expressed
MYL12B|ENSG00000118680	ad	control	687.0	1.369	0.1709	+++++----+++++	0.3610006311803071	MYL12B	ENSG00000118680	18	3261479	Not differentially expressed
TRAPPC11|ENSG00000168538	ad	control	687.0	3.498	0.0004682	+++++----+++++	0.013990261904761905	TRAPPC11	ENSG00000168538	4	183659267	Not differentially expressed
ZFP90|ENSG00000184939	ad	control	687.0	2.027	0.04268	--+++++++-+++-	0.15518015930485154	ZFP90	ENSG00000184939	16	68530090	Not differentially expressed
ZSCAN21|ENSG00000166529	ad	control	687.0	0.847	0.397	--+--++++--+--	0.5960358798026612	ZSCAN21	ENSG00000166529	7	100049774	Not differentially expressed
SGPP1|ENSG00000285281	ad	control	687.0	0.802	0.4225	++-+-----+++++	0.6170264611805758	SGPP1	ENSG00000285281	HSCHR14_8_CTG1	20168	Not differentially expressed
EPB41L3|ENSG00000082397	ad	control	687.0	3.054	0.002258	++++++---+++++	0.03163230125523013	EPB41L3	ENSG00000082397	18	5392381	Not differentially expressed
SUMF2|ENSG00000129103	ad	control	687.0	1.455	0.1458	++++------++++	0.3266078037904125	SUMF2	ENSG00000129103	7	56064002	Not differentially expressed
GET4|ENSG00000239857	ad	control	687.0	-2.596	0.009433	----+--------+	0.06586044506258694	GET4	ENSG00000239857	7	876554	Not differentially expressed
TRPM6|ENSG00000119121	ad	control	687.0	1.233	0.2177	+++-+--++-++--	0.4165633695445016	TRPM6	ENSG00000119121	9	74722495	Not differentially expressed
ACTR10|ENSG00000131966	ad	control	687.0	3.215	0.001304	+++++----+++++	0.023378857142857142	ACTR10	ENSG00000131966	14	58200080	Not differentially expressed
CFAP52|ENSG00000166596	ad	control	687.0	0.629	0.5294	-+++++++--+-+-	0.7029726226689591	CFAP52	ENSG00000166596	17	9576627	Not differentially expressed
